iter	Passed	Remaining
920	1855	159
921	1858	157
922	1860	155
923	1862	153
924	1864	151
925	1866	149
926	1868	147
927	1870	145
928	1872	143
929	1874	141
930	1875	139
931	1877	137
932	1879	134
933	1881	132
934	1883	130
935	1886	128
936	1888	126
937	1889	124
938	1891	122
939	1893	120
940	1895	118
941	1897	116
942	1898	114
943	1901	112
944	1902	110
945	1904	108
946	1905	106
947	1908	104
948	1910	102
949	1911	100
950	1913	98
951	1915	96
952	1917	94
953	1919	92
954	1920	90
955	1922	88
956	1924	86
957	1926	84
958	1927	82
959	1930	80
960	1931	78
961	1933	76
962	1935	74
963	1937	72
964	1939	70
965	1941	68
966	1943	66
967	1945	64
968	1947	62
969	1949	60
970	1950	58
971	1952	56
972	1954	54
973	1956	52
974	1958	50
975	1960	48
976	1962	46
977	1963	44
978	1965	42
979	1966	40
980	1968	38
981	1970	36
982	1972	34
983	1973	32
984	1975	30
985	1977	28
986	1979	26
987	1981	24
988	1983	22
989	1985	20
990	1987	18
991	1988	16
992	1990	14
993	1992	12
994	1994	10
995	1995	8
996	1998	6
997	2000	4
998	2001	2
999	2003	0
